	Feature	Coefficient
1293	msp_1540	0.0
1302	msp_1552	0.0
1512	msp_1938	0.0
1510	msp_1935	0.0
1509	msp_1934	0.0
1305	msp_1557	0.0
1505	msp_1930	0.0
1504	msp_1929	0.0
1334	msp_1606c	0.0
1310	msp_1565	0.0
1503	msp_1927	0.0
1317	msp_1576	0.0
1318	msp_1578c	0.0
1500	msp_1922	0.0
1499	msp_1920	0.0
1496	msp_1914	0.0
1332	msp_1604	0.0
1476	msp_1877	0.0
1475	msp_1875	0.0
1367	msp_1658	0.0
1434	msp_1775	0.0
1401	msp_1706	0.0
1404	msp_1713	0.0
1406	msp_1715	0.0
1448	msp_1829	0.0
1447	msp_1826	0.0
1407	msp_1717	0.0
1437	msp_1779c	0.0
1436	msp_1777	0.0
1412	msp_1728	0.0
1450	msp_1831	0.0
1413	msp_1729	0.0
1431	msp_1770	0.0
1415	msp_1735	0.0
1416	msp_1738	0.0
1417	msp_1740	0.0
1427	msp_1759	0.0
1418	msp_1741	0.0
1425	msp_1750	0.0
1449	msp_1830	0.0
1455	msp_1846	0.0
1369	msp_1660	0.0
1466	msp_1861	0.0
1474	msp_1874	0.0
1473	msp_1873	0.0
1373	msp_1666	0.0
1375	msp_1668	0.0
1472	msp_1871	0.0
1376	msp_1669	0.0
1382	msp_1676	0.0
1470	msp_1868	0.0
1384	msp_1678	0.0
1457	msp_1848	0.0
1465	msp_1858	0.0
1461	msp_1853	0.0
1386	msp_1680	0.0
1460	msp_1852	0.0
1389	msp_1686	0.0
1392	msp_1690	0.0
1459	msp_1851	0.0
1393	msp_1693	0.0
1513	msp_1939	0.0
1514	msp_1940	0.0
1290	msp_1535	0.0
1195	msp_1393	0.0
1182	msp_1374	0.0
1183	msp_1376	0.0
1185	msp_1378	0.0
1186	msp_1379	0.0
1187	msp_1380	0.0
1189	msp_1382	0.0
1190	msp_1384	0.0
1192	msp_1387	0.0
1196	msp_1395	0.0
1179	msp_1370	0.0
1631	msp_2246	0.0
1199	msp_1398	0.0
1619	msp_2232	0.0
1557	msp_2209	0.0
1207	msp_1408	0.0
1208	msp_1409	0.0
1555	msp_2176	0.0
1554	msp_2169	0.0
1636	msp_2253	0.0
1178	msp_1369	0.0
1217	msp_1424	0.0
1663	msp_2285	0.0
1141	msp_1322	0.0
1143	msp_1324	0.0
1145	msp_1328	0.0
1691	msp_2331	0.0
1688	msp_2323	0.0
1424	msp_1749	0.0
1672	msp_2296	0.0
1149	msp_1333	0.0
1662	msp_2283	0.0
1177	msp_1367	0.0
1158	msp_1345c	0.0
1160	msp_1348	0.0
1164	msp_1354	0.0
1169	msp_1359	0.0
1649	msp_2267	0.0
1173	msp_1363	0.0
1641	msp_2258	0.0
1176	msp_1366	0.0
1212	msp_1417	0.0
1218	msp_1427	0.0
1518	msp_1945	0.0
1268	msp_1500	0.0
1537	msp_2002	0.0
1254	msp_1476	0.0
1255	msp_1478	0.0
1534	msp_1988	0.0
1533	msp_1986	0.0
1262	msp_1486	0.0
1532	msp_1985	0.0
1528	msp_1975	0.0
1526	msp_1970	0.0
1246	msp_1466	0.0
1272	msp_1510c	0.0
1274	msp_1512	0.0
1525	msp_1968	0.0
1523	msp_1956	0.0
1522	msp_1949	0.0
1283	msp_1526	0.0
1286	msp_1529	0.0
1520	msp_1947	0.0
1538	msp_2004	0.0
